Complaint_ID,Customer_ID,Complaint_Text,Sentiment
CMP0001,C0001,Thanks for resolving my last issue.,POSITIVE
CMP0002,C0002,Everything looks fine.,POSITIVE
CMP0003,C0003,My discount wasn’t applied.,NEGATIVE
CMP0004,C0004,Tax seems incorrect.,NEGATIVE
CMP0005,C0005,Tax seems incorrect.,NEGATIVE
CMP0006,C0006,Thanks for resolving my last issue.,POSITIVE
CMP0007,C0007,Tax seems incorrect.,NEGATIVE
CMP0008,C0008,I was charged extra for roaming.,NEGATIVE
CMP0009,C0009,The bill is way higher than expected.,NEGATIVE
CMP0010,C0010,"Great service, no issues with billing.",POSITIVE
CMP0011,C0011,"Great service, no issues with billing.",POSITIVE
CMP0012,C0012,I was charged extra for roaming.,NEGATIVE
CMP0013,C0013,I need help understanding my bill.,NEGATIVE
CMP0014,C0014,I was charged extra for roaming.,NEGATIVE
CMP0015,C0015,Charges match my usage perfectly.,POSITIVE
CMP0016,C0016,Charges match my usage perfectly.,POSITIVE
CMP0017,C0017,Tax seems incorrect.,NEGATIVE
CMP0018,C0018,I was charged extra for roaming.,NEGATIVE
CMP0019,C0019,Tax seems incorrect.,NEGATIVE
CMP0020,C0020,Tax seems incorrect.,NEGATIVE
CMP0021,C0021,My discount wasn’t applied.,NEGATIVE
CMP0022,C0022,Thanks for resolving my last issue.,POSITIVE
CMP0023,C0023,Thanks for resolving my last issue.,POSITIVE
CMP0024,C0024,Why was I billed for unused data?,NEGATIVE
CMP0025,C0025,Why was I billed for unused data?,NEGATIVE
CMP0026,C0026,Thanks for resolving my last issue.,POSITIVE
CMP0027,C0027,I need help understanding my bill.,NEGATIVE
CMP0028,C0028,Tax seems incorrect.,NEGATIVE
CMP0029,C0029,Why was I billed for unused data?,NEGATIVE
CMP0030,C0030,Why was I billed for unused data?,NEGATIVE
CMP0031,C0031,My discount wasn’t applied.,NEGATIVE
CMP0032,C0032,Everything looks fine.,POSITIVE
CMP0033,C0033,I was charged extra for roaming.,NEGATIVE
CMP0034,C0034,Thanks for resolving my last issue.,POSITIVE
CMP0035,C0035,Why was I billed for unused data?,NEGATIVE
CMP0036,C0036,Why was I billed for unused data?,NEGATIVE
CMP0037,C0037,Tax seems incorrect.,NEGATIVE
CMP0038,C0038,I need help understanding my bill.,NEGATIVE
CMP0039,C0039,"Great service, no issues with billing.",POSITIVE
CMP0040,C0040,Why was I billed for unused data?,NEGATIVE
CMP0041,C0041,I need help understanding my bill.,NEGATIVE
CMP0042,C0042,My discount wasn’t applied.,NEGATIVE
CMP0043,C0043,The bill is way higher than expected.,NEGATIVE
CMP0044,C0044,Everything looks fine.,POSITIVE
CMP0045,C0045,Everything looks fine.,POSITIVE
CMP0046,C0046,Why was I billed for unused data?,NEGATIVE
CMP0047,C0047,Thanks for resolving my last issue.,POSITIVE
CMP0048,C0048,Thanks for resolving my last issue.,POSITIVE
CMP0049,C0049,Charges match my usage perfectly.,POSITIVE
CMP0050,C0050,Charges match my usage perfectly.,POSITIVE
CMP0051,C0051,Charges match my usage perfectly.,POSITIVE
CMP0052,C0052,Charges match my usage perfectly.,POSITIVE
CMP0053,C0053,"Great service, no issues with billing.",POSITIVE
CMP0054,C0054,Tax seems incorrect.,NEGATIVE
CMP0055,C0055,The bill is way higher than expected.,NEGATIVE
CMP0056,C0056,The bill is way higher than expected.,NEGATIVE
CMP0057,C0057,Everything looks fine.,POSITIVE
CMP0058,C0058,Why was I billed for unused data?,NEGATIVE
CMP0059,C0059,Charges match my usage perfectly.,POSITIVE
CMP0060,C0060,Everything looks fine.,POSITIVE
CMP0061,C0061,Tax seems incorrect.,NEGATIVE
CMP0062,C0062,The bill is way higher than expected.,NEGATIVE
CMP0063,C0063,The bill is way higher than expected.,NEGATIVE
CMP0064,C0064,"Great service, no issues with billing.",POSITIVE
CMP0065,C0065,Tax seems incorrect.,NEGATIVE
CMP0066,C0066,Thanks for resolving my last issue.,POSITIVE
CMP0067,C0067,The bill is way higher than expected.,NEGATIVE
CMP0068,C0068,The bill is way higher than expected.,NEGATIVE
CMP0069,C0069,I was charged extra for roaming.,NEGATIVE
CMP0070,C0070,Charges match my usage perfectly.,POSITIVE
CMP0071,C0071,I need help understanding my bill.,NEGATIVE
CMP0072,C0072,Charges match my usage perfectly.,POSITIVE
CMP0073,C0073,Tax seems incorrect.,NEGATIVE
CMP0074,C0074,Why was I billed for unused data?,NEGATIVE
CMP0075,C0075,Everything looks fine.,POSITIVE
CMP0076,C0076,I need help understanding my bill.,NEGATIVE
CMP0077,C0077,The bill is way higher than expected.,NEGATIVE
CMP0078,C0078,Everything looks fine.,POSITIVE
CMP0079,C0079,Charges match my usage perfectly.,POSITIVE
CMP0080,C0080,Tax seems incorrect.,NEGATIVE
CMP0081,C0081,Why was I billed for unused data?,NEGATIVE
CMP0082,C0082,The bill is way higher than expected.,NEGATIVE
CMP0083,C0083,Charges match my usage perfectly.,POSITIVE
CMP0084,C0084,"Great service, no issues with billing.",POSITIVE
CMP0085,C0085,"Great service, no issues with billing.",POSITIVE
CMP0086,C0086,My discount wasn’t applied.,NEGATIVE
CMP0087,C0087,I was charged extra for roaming.,NEGATIVE
CMP0088,C0088,I was charged extra for roaming.,NEGATIVE
CMP0089,C0089,Tax seems incorrect.,NEGATIVE
CMP0090,C0090,Thanks for resolving my last issue.,POSITIVE
CMP0091,C0091,Charges match my usage perfectly.,POSITIVE
CMP0092,C0092,I was charged extra for roaming.,NEGATIVE
CMP0093,C0093,I need help understanding my bill.,NEGATIVE
CMP0094,C0094,Thanks for resolving my last issue.,POSITIVE
CMP0095,C0095,I was charged extra for roaming.,NEGATIVE
CMP0096,C0096,Why was I billed for unused data?,NEGATIVE
CMP0097,C0097,Everything looks fine.,POSITIVE
CMP0098,C0098,My discount wasn’t applied.,NEGATIVE
CMP0099,C0099,Tax seems incorrect.,NEGATIVE
CMP0100,C0100,Everything looks fine.,POSITIVE
CMP0101,C0101,Charges match my usage perfectly.,POSITIVE
CMP0102,C0102,Thanks for resolving my last issue.,POSITIVE
CMP0103,C0103,"Great service, no issues with billing.",POSITIVE
CMP0104,C0104,Tax seems incorrect.,NEGATIVE
CMP0105,C0105,Why was I billed for unused data?,NEGATIVE
CMP0106,C0106,I need help understanding my bill.,NEGATIVE
CMP0107,C0107,The bill is way higher than expected.,NEGATIVE
CMP0108,C0108,"Great service, no issues with billing.",POSITIVE
CMP0109,C0109,Tax seems incorrect.,NEGATIVE
CMP0110,C0110,Everything looks fine.,POSITIVE
CMP0111,C0111,Everything looks fine.,POSITIVE
CMP0112,C0112,Why was I billed for unused data?,NEGATIVE
CMP0113,C0113,Tax seems incorrect.,NEGATIVE
CMP0114,C0114,Everything looks fine.,POSITIVE
CMP0115,C0115,"Great service, no issues with billing.",POSITIVE
CMP0116,C0116,Thanks for resolving my last issue.,POSITIVE
CMP0117,C0117,My discount wasn’t applied.,NEGATIVE
CMP0118,C0118,Tax seems incorrect.,NEGATIVE
CMP0119,C0119,Tax seems incorrect.,NEGATIVE
CMP0120,C0120,I was charged extra for roaming.,NEGATIVE
CMP0121,C0121,I was charged extra for roaming.,NEGATIVE
CMP0122,C0122,Tax seems incorrect.,NEGATIVE
CMP0123,C0123,Why was I billed for unused data?,NEGATIVE
CMP0124,C0124,I was charged extra for roaming.,NEGATIVE
CMP0125,C0125,I was charged extra for roaming.,NEGATIVE
CMP0126,C0126,Everything looks fine.,POSITIVE
CMP0127,C0127,Why was I billed for unused data?,NEGATIVE
CMP0128,C0128,My discount wasn’t applied.,NEGATIVE
CMP0129,C0129,Everything looks fine.,POSITIVE
CMP0130,C0130,Charges match my usage perfectly.,POSITIVE
CMP0131,C0131,My discount wasn’t applied.,NEGATIVE
CMP0132,C0132,Thanks for resolving my last issue.,POSITIVE
CMP0133,C0133,"Great service, no issues with billing.",POSITIVE
CMP0134,C0134,"Great service, no issues with billing.",POSITIVE
CMP0135,C0135,Charges match my usage perfectly.,POSITIVE
CMP0136,C0136,The bill is way higher than expected.,NEGATIVE
CMP0137,C0137,My discount wasn’t applied.,NEGATIVE
CMP0138,C0138,Tax seems incorrect.,NEGATIVE
CMP0139,C0139,Everything looks fine.,POSITIVE
CMP0140,C0140,My discount wasn’t applied.,NEGATIVE
CMP0141,C0141,Thanks for resolving my last issue.,POSITIVE
CMP0142,C0142,My discount wasn’t applied.,NEGATIVE
CMP0143,C0143,Tax seems incorrect.,NEGATIVE
CMP0144,C0144,I need help understanding my bill.,NEGATIVE
CMP0145,C0145,My discount wasn’t applied.,NEGATIVE
CMP0146,C0146,I was charged extra for roaming.,NEGATIVE
CMP0147,C0147,I was charged extra for roaming.,NEGATIVE
CMP0148,C0148,Charges match my usage perfectly.,POSITIVE
CMP0149,C0149,I need help understanding my bill.,NEGATIVE
CMP0150,C0150,My discount wasn’t applied.,NEGATIVE
CMP0151,C0151,The bill is way higher than expected.,NEGATIVE
CMP0152,C0152,The bill is way higher than expected.,NEGATIVE
CMP0153,C0153,Thanks for resolving my last issue.,POSITIVE
CMP0154,C0154,Tax seems incorrect.,NEGATIVE
CMP0155,C0155,Charges match my usage perfectly.,POSITIVE
CMP0156,C0156,Why was I billed for unused data?,NEGATIVE
CMP0157,C0157,Why was I billed for unused data?,NEGATIVE
CMP0158,C0158,The bill is way higher than expected.,NEGATIVE
CMP0159,C0159,My discount wasn’t applied.,NEGATIVE
CMP0160,C0160,I need help understanding my bill.,NEGATIVE
CMP0161,C0161,Charges match my usage perfectly.,POSITIVE
CMP0162,C0162,Tax seems incorrect.,NEGATIVE
CMP0163,C0163,My discount wasn’t applied.,NEGATIVE
CMP0164,C0164,I need help understanding my bill.,NEGATIVE
CMP0165,C0165,Why was I billed for unused data?,NEGATIVE
CMP0166,C0166,Charges match my usage perfectly.,POSITIVE
CMP0167,C0167,Charges match my usage perfectly.,POSITIVE
CMP0168,C0168,Why was I billed for unused data?,NEGATIVE
CMP0169,C0169,I need help understanding my bill.,NEGATIVE
CMP0170,C0170,Tax seems incorrect.,NEGATIVE
CMP0171,C0171,Everything looks fine.,POSITIVE
CMP0172,C0172,Charges match my usage perfectly.,POSITIVE
CMP0173,C0173,Charges match my usage perfectly.,POSITIVE
CMP0174,C0174,I was charged extra for roaming.,NEGATIVE
CMP0175,C0175,My discount wasn’t applied.,NEGATIVE
CMP0176,C0176,Thanks for resolving my last issue.,POSITIVE
CMP0177,C0177,The bill is way higher than expected.,NEGATIVE
CMP0178,C0178,Charges match my usage perfectly.,POSITIVE
CMP0179,C0179,I was charged extra for roaming.,NEGATIVE
CMP0180,C0180,My discount wasn’t applied.,NEGATIVE
CMP0181,C0181,"Great service, no issues with billing.",POSITIVE
CMP0182,C0182,I was charged extra for roaming.,NEGATIVE
CMP0183,C0183,Why was I billed for unused data?,NEGATIVE
CMP0184,C0184,The bill is way higher than expected.,NEGATIVE
CMP0185,C0185,I was charged extra for roaming.,NEGATIVE
CMP0186,C0186,Everything looks fine.,POSITIVE
CMP0187,C0187,Everything looks fine.,POSITIVE
CMP0188,C0188,Everything looks fine.,POSITIVE
CMP0189,C0189,Why was I billed for unused data?,NEGATIVE
CMP0190,C0190,"Great service, no issues with billing.",POSITIVE
CMP0191,C0191,Why was I billed for unused data?,NEGATIVE
CMP0192,C0192,Thanks for resolving my last issue.,POSITIVE
CMP0193,C0193,My discount wasn’t applied.,NEGATIVE
CMP0194,C0194,Tax seems incorrect.,NEGATIVE
CMP0195,C0195,"Great service, no issues with billing.",POSITIVE
CMP0196,C0196,The bill is way higher than expected.,NEGATIVE
CMP0197,C0197,Tax seems incorrect.,NEGATIVE
CMP0198,C0198,Why was I billed for unused data?,NEGATIVE
CMP0199,C0199,My discount wasn’t applied.,NEGATIVE
CMP0200,C0200,The bill is way higher than expected.,NEGATIVE
CMP0201,C0201,Tax seems incorrect.,NEGATIVE
CMP0202,C0202,Thanks for resolving my last issue.,POSITIVE
CMP0203,C0203,Thanks for resolving my last issue.,POSITIVE
CMP0204,C0204,Thanks for resolving my last issue.,POSITIVE
CMP0205,C0205,Charges match my usage perfectly.,POSITIVE
CMP0206,C0206,The bill is way higher than expected.,NEGATIVE
CMP0207,C0207,My discount wasn’t applied.,NEGATIVE
CMP0208,C0208,"Great service, no issues with billing.",POSITIVE
CMP0209,C0209,"Great service, no issues with billing.",POSITIVE
CMP0210,C0210,Thanks for resolving my last issue.,POSITIVE
CMP0211,C0211,Thanks for resolving my last issue.,POSITIVE
CMP0212,C0212,I need help understanding my bill.,NEGATIVE
CMP0213,C0213,Everything looks fine.,POSITIVE
CMP0214,C0214,Everything looks fine.,POSITIVE
CMP0215,C0215,I was charged extra for roaming.,NEGATIVE
CMP0216,C0216,Charges match my usage perfectly.,POSITIVE
CMP0217,C0217,"Great service, no issues with billing.",POSITIVE
CMP0218,C0218,I need help understanding my bill.,NEGATIVE
CMP0219,C0219,Thanks for resolving my last issue.,POSITIVE
CMP0220,C0220,"Great service, no issues with billing.",POSITIVE
CMP0221,C0221,Thanks for resolving my last issue.,POSITIVE
CMP0222,C0222,"Great service, no issues with billing.",POSITIVE
CMP0223,C0223,My discount wasn’t applied.,NEGATIVE
CMP0224,C0224,I need help understanding my bill.,NEGATIVE
CMP0225,C0225,Everything looks fine.,POSITIVE
CMP0226,C0226,The bill is way higher than expected.,NEGATIVE
CMP0227,C0227,Thanks for resolving my last issue.,POSITIVE
CMP0228,C0228,Why was I billed for unused data?,NEGATIVE
CMP0229,C0229,Thanks for resolving my last issue.,POSITIVE
CMP0230,C0230,"Great service, no issues with billing.",POSITIVE
CMP0231,C0231,The bill is way higher than expected.,NEGATIVE
CMP0232,C0232,Why was I billed for unused data?,NEGATIVE
CMP0233,C0233,Everything looks fine.,POSITIVE
CMP0234,C0234,I need help understanding my bill.,NEGATIVE
CMP0235,C0235,"Great service, no issues with billing.",POSITIVE
